Species,Lineage,Sublineage,ST,Clonal_group,Genetic_cluster
C. diphtheriae,0_0,SL8,8,ClG8,GC29
C. diphtheriae,0_0,SL295,83,ClG83,GC745
C. diphtheriae,0_0,SL503,503,ClG503,GC194
C. diphtheriae,0_0,SL26,26,ClG26,GC4
C. diphtheriae,0_0,SL504,504,ClG504,GC366
C. diphtheriae,0_0,SL584,584,ClG584,GC285
C. diphtheriae,0_0,SL175,175,ClG175,GC160
C. diphtheriae,0_0,SL173,173,ClG173,GC932
C. belfantii,2_0,SL106,106,ClG106,GC116
C. belfantii,2_0,SL365,365,ClG365,GC901
C. belfantii,2_0,SL208,208,ClG208,GC15
C. belfantii,2_0,SL92,92,ClG92,GC20
C. belfantii,2_0,SL106,106,ClG106,GC116
C. diphtheriae,0_0,SL447,473,ClG473,GC155
C. diphtheriae,0_0,SL172,172,ClG172,GC863
C. diphtheriae,0_0,SL171,171,ClG171,GC933
C. diphtheriae,0_21,SL176,176,ClG176,GC866
C. diphtheriae,0_0,SL26,26,ClG26,GC4
C. diphtheriae,0_0,SL128,128,ClG10228,GC641
C. diphtheriae,0_0,SL50,50,ClG50,GC11
C. diphtheriae,0_0,SL175,175,ClG175,GC160
C. diphtheriae,0_0,SL80,80,ClG80,GC91
C. diphtheriae,0_0,SL44,44,ClG44,GC63
C. diphtheriae,0_0,SL40,453,ClG453,GC42
C. diphtheriae,0_0,SL452,452,ClG452,GC82
C. diphtheriae,0_0,SL452,452,ClG452,GC82
C. diphtheriae,0_0,SL32,32,ClG32,GC28
C. diphtheriae,0_0,SL171,171,ClG10045,GC910
C. diphtheriae,0_0,SL8,8,ClG8,GC303
C. diphtheriae,0_0,SL5,5,ClG10194,GC824
C. diphtheriae,0_0,SL26,26,ClG26,GC4
C. diphtheriae,0_0,SL32,32,ClG10265,GC567
C. diphtheriae,0_0,SL32,32,ClG32,GC770
C. diphtheriae,0_0,SL40,457,ClG457,GC441
C. diphtheriae,0_0,SL141,141,ClG141,GC75
C. diphtheriae,0_0,SL381,459,ClG459,GC443
C. diphtheriae,0_0,SL123,451,ClG10060,GC437
C. diphtheriae,0_0,SL141,141,ClG141,GC75
C. diphtheriae,0_0,SL123,451,ClG451,GC476
C. diphtheriae,0_0,SL141,141,ClG141,GC75
C. belfantii,2_0,SL10002,360,ClG10072,GC714
C. diphtheriae,0_0,SL44,44,ClG44,GC63
C. diphtheriae,0_0,SL44,44,ClG44,GC63
C. diphtheriae,0_0,SL292,586,ClG586,GC216
C. diphtheriae,0_0,SL395,743,ClG390,GC246
C. diphtheriae,0_0,SL40,453,ClG453,GC42
C. diphtheriae,0_0,SL458,458,ClG10063,GC716
C. diphtheriae,0_0,SL40,453,ClG453,GC42
C. diphtheriae,0_0,SL21,462,ClG462,GC447
C. diphtheriae,0_0,SL40,453,ClG453,GC42
C. diphtheriae,0_0,SL248,248,ClG248,GC229
C. diphtheriae,0_0,SL122,122,ClG10254,GC796
C. diphtheriae,0_0,SL452,452,ClG452,GC82
C. diphtheriae,0_0,SL44,44,ClG44,GC63
C. diphtheriae,0_0,SL26,26,ClG26,GC4
C. diphtheriae,0_0,SL405,50,ClG10269,GC138
C. diphtheriae,0_0,SL308,408,ClG408,GC408
C. diphtheriae,0_0,SL377,377,ClG10117,GC596
C. belfantii,2_0,SL409,409,ClG10208,GC733
C. diphtheriae,0_0,SL405,405,ClG405,GC76
C. diphtheriae,0_0,SL405,405,ClG405,GC76
C. diphtheriae,0_0,SL405,405,ClG405,GC751
C. diphtheriae,0_0,SL295,295,ClG10185,GC147
C. diphtheriae,0_0,SL405,50,ClG10269,GC138
C. diphtheriae,0_14,SL687,687,ClG10070,GC430
C. diphtheriae,0_0,SL381,729,ClG729,GC579
C. diphtheriae,0_0,SL228,240,ClG10059,GC992
C. diphtheriae,0_0,SL498,498,ClG498,GC197
C. diphtheriae,0_0,SL5,5,ClG10203,GC922
C. diphtheriae,0_14,SL524,744,ClG524,GC52
C. diphtheriae,0_0,SL516,516,ClG10267,GC312
C. diphtheriae,0_0,SL239,239,ClG239,GC854
C. diphtheriae,0_0,SL122,122,ClG10162,GC707
C. diphtheriae,0_14,SL911,605,ClG605,GC83
C. diphtheriae,0_0,SL730,730,ClG730,GC578
C. diphtheriae,0_0,SL32,32,ClG32,GC28
C. diphtheriae,0_0,SL232,745,ClG745,GC568
C. diphtheriae,0_0,SL228,240,ClG10260,GC482
C. diphtheriae,0_0,SL731,731,ClG731,GC577
C. diphtheriae,0_14,SL911,605,ClG605,GC83
C. diphtheriae,0_0,SL5,5,ClG5,GC23
C. diphtheriae,0_14,SL911,605,ClG605,GC83
C. diphtheriae,0_0,SL183,183,ClG10173,GC122
C. diphtheriae,0_0,SL579,579,ClG579,GC132
C. diphtheriae,0_0,SL734,734,ClG734,GC559
C. diphtheriae,0_0,SL377,377,ClG10117,GC25
C. diphtheriae,0_0,SL405,50,ClG10269,GC138
C. diphtheriae,0_0,SL295,295,ClG10185,GC147
C. diphtheriae,0_0,SL405,405,ClG405,GC76
C. diphtheriae,0_0,SL405,405,ClG405,GC355
C. diphtheriae,0_0,SL410,410,ClG410,GC252
C. belfantii,2_0,SL106,106,ClG106,GC116
C. diphtheriae,0_0,SL8,8,ClG8,GC18
C. diphtheriae,0_0,SL86,86,ClG86,GC102
C. diphtheriae,0_0,SL95,95,ClG95,GC775
C. diphtheriae,0_14,SL738,738,ClG738,GC563
C. diphtheriae,0_0,SL351,97,ClG97,GC154
C. diphtheriae,0_1,SL88,88,ClG853,GC92
C. diphtheriae,0_0,SL101,101,ClG101,GC279
C. diphtheriae,0_0,SL351,97,ClG97,GC154
C. diphtheriae,0_0,SL102,102,ClG10011,GC802
C. diphtheriae,0_0,SL91,87,ClG87,GC181
C. diphtheriae,0_0,SL351,97,ClG97,GC154
C. diphtheriae,0_0,SL102,102,ClG10011,GC351
C. diphtheriae,0_0,SL102,102,ClG10012,GC758
C. belfantii,2_0,SL92,106,ClG10083,GC105
C. diphtheriae,0_0,SL490,184,ClG184,GC5
C. diphtheriae,0_0,SL490,184,ClG184,GC5
C. diphtheriae,0_0,SL432,213,ClG213,GC851
C. diphtheriae,0_0,SL206,206,ClG206,GC881
C. diphtheriae,0_0,SL32,32,ClG32,GC28
C. diphtheriae,0_0,SL183,183,ClG10183,GC666
C. diphtheriae,0_0,SL91,238,ClG238,GC80
C. diphtheriae,0_0,SL91,238,ClG238,GC80
C. diphtheriae,0_0,SL251,251,ClG251,GC886
C. diphtheriae,0_0,SL40,136,ClG136,GC1022
C. diphtheriae,0_0,SL91,238,ClG238,GC80
C. diphtheriae,0_0,SL91,91,ClG10033,GC258
C. diphtheriae,0_0,SL367,367,ClG367,GC903
C. diphtheriae,0_1,SL356,356,ClG356,GC240
C. diphtheriae,0_0,SL727,727,ClG727,GC599
C. diphtheriae,0_0,SL685,374,ClG374,GC905
C. diphtheriae,0_0,SL421,421,ClG421,GC256
C. diphtheriae,0_0,SL109,109,ClG109,GC77
C. diphtheriae,0_0,SL419,419,ClG10255,GC873
C. diphtheriae,0_0,SL412,412,ClG412,GC392
C. diphtheriae,0_0,SL3,387,ClG387,GC394
C. diphtheriae,0_0,SL422,422,ClG422,GC411
C. diphtheriae,0_0,SL40,389,ClG389,GC244
C. diphtheriae,0_0,SL95,413,ClG413,GC391
C. diphtheriae,0_0,SL490,414,ClG414,GC390
C. diphtheriae,0_0,SL268,415,ClG415,GC389
C. diphtheriae,0_0,SL416,416,ClG416,GC14
