total elements,cutoff clustering,allelic mismatches,number partitions ,silhouette,noise silhouette low,noise silhouette av,noise silhouette up,noise aWallace1 low,noise aWallace1 av,noise aWallace1 up,noise aWallace2 low,noise aWallace2 av,noise aWallace2 up,nAUC silhouette low,nAUC silhouette av,nAUC silhouette up,nAUC aWallace1 low,nAUC aWallace1 av,nAUC aWallace1 up,nAUC aWallace2 low,nAUC aWallace2 av,nAUC aWallace2 up
1665,0,0,1387,0.226136,0.225766,0.264487,0.442214,0.129599,0.701228,1,1,1,1,0.571524,0.584821,0.599693,1,1,1,0.893023,0.976912,1
1665,0.000766871,1.000766655,1386,0.227269,0.223193,0.293614,0.488925,0.127209,0.398368,1,0.999589,0.999905,1,0.572923,0.585392,0.599113,1,1,1,0.896644,0.980354,1
1665,0.00076746,1.0015353,1376,0.228976,0.215336,0.288131,0.504596,0.126497,0.451172,1,0.992247,0.997597,1,0.574069,0.586541,0.601574,1,1,1,0.894409,0.97531,1
1665,0.000768049,1.002303945,1368,0.235016,0.211954,0.285368,0.505562,0.127787,0.371596,1,0.982227,0.996449,1,0.57535,0.588313,0.603868,1,1,1,0.887912,0.975155,1
1665,0.000768639,1.003073895,1364,0.237695,0.214118,0.273861,0.44684,0.131399,0.482814,1,0.978669,0.992747,1,0.575817,0.589524,0.605499,1,1,1,0.882529,0.974832,1
1665,0.000769231,1.003846455,1351,0.240459,0.224433,0.284832,0.488026,0.13073,0.477287,1,0.960119,0.986516,1,0.57707,0.590738,0.605119,1,1,1,0.887941,0.9737,1
1665,0.000769823,1.004619015,1335,0.237329,0.220748,0.281263,0.466183,0.150337,0.473167,1,0.862058,0.957238,1,0.576696,0.589654,0.606206,1,1,1,0.863687,0.960693,1
1665,0.000770416,1.00539288,1320,0.2372,0.218736,0.285512,0.469147,0.205306,0.522649,1,0.626532,0.891697,1,0.577686,0.590433,0.605369,1,1,1,0.79927,0.943481,1
1665,0.00077101,1.00616805,1295,0.222973,0.218484,0.300029,0.507996,0.311508,0.646384,1,0.40293,0.802967,1,0.572135,0.585916,0.601499,1,1,1,0.834102,0.947461,1
1665,0.000771605,1.006944525,1290,0.23716,0.220891,0.284893,0.471396,0.329407,0.656211,1,0.386017,0.846504,1,0.577553,0.590156,0.604771,1,1,1,0.811309,0.936792,1
1665,0.000772201,1.007722305,1279,0.234639,0.222481,0.296305,0.490449,0.33477,0.621596,1,0.379832,0.882168,1,0.577462,0.590586,0.604572,1,1,1,0.809883,0.928877,0.998905
1665,0.000772798,1.00850139,1277,0.236539,0.223075,0.276845,0.431056,0.341309,0.704137,1,0.379713,0.789104,1,0.578138,0.591471,0.605443,1,1,1,0.819941,0.934113,0.999534
1665,0.000773395,1.009280475,1273,0.242835,0.215723,0.286513,0.510187,0.331801,0.653911,1,0.378287,0.863223,1,0.579108,0.592793,0.607561,1,1,1,0.812659,0.934081,0.999032
1665,0.000773994,1.01006217,1272,0.243536,0.216856,0.289373,0.482641,0.33619,0.648806,1,0.378228,0.86321,1,0.581515,0.594041,0.608337,1,1,1,0.813189,0.932822,0.999544
1665,0.000774593,1.010843865,1271,0.244109,0.225038,0.294101,0.489412,0.331957,0.640639,1,0.378109,0.863184,1,0.581396,0.594272,0.609949,1,1,1,0.814297,0.934062,0.9995
1665,0.000775194,1.01162817,1235,0.213988,0.225705,0.298317,0.490063,0.429137,0.742219,1,0.296307,0.852225,1,0.571828,0.584343,0.59946,1,1,1,0.825784,0.924796,0.997118
1665,0.000775795,1.012412475,1223,0.21473,0.224626,0.290114,0.47552,0.488769,0.831425,1,0.260157,0.837234,1,0.573156,0.5876,0.603954,1,1,1,0.839787,0.930012,0.997935
1665,0.000776398,1.01319939,1221,0.217368,0.22483,0.297971,0.482446,0.492836,0.808544,1,0.25801,0.78493,1,0.574613,0.588296,0.602953,1,1,1,0.830722,0.928545,0.998439
1665,0.000777001,1.013986305,1219,0.228464,0.214835,0.289003,0.505478,0.49044,0.843821,1,0.255925,0.769337,1,0.57849,0.591151,0.606236,1,1,1,0.839655,0.932016,0.995684
1665,0.000778816,1.01635488,1215,0.231064,0.225648,0.278524,0.441662,0.506665,0.870703,1,0.255789,0.76935,1,0.579593,0.592242,0.606667,1,1,1,0.837071,0.92907,0.997181
1665,0.000779423,1.017147015,1214,0.231914,0.216596,0.287808,0.479745,0.497221,0.844328,1,0.255735,0.769298,1,0.580422,0.592934,0.608306,1,1,1,0.838484,0.931922,0.998379
1665,0.000780031,1.017940455,1212,0.232815,0.220703,0.28297,0.427782,0.506934,0.862363,1,0.255653,0.843687,1,0.579792,0.592495,0.607105,1,1,1,0.841993,0.931173,0.994662
1665,0.00078064,1.0187352,1211,0.234015,0.215028,0.295738,0.4963,0.497432,0.825388,1,0.255626,0.843788,1,0.581206,0.593595,0.607605,1,1,1,0.838581,0.932347,0.997045
1665,0.000786163,1.025942715,1208,0.235116,0.220602,0.278773,0.509888,0.497749,0.875563,1,0.255463,0.798969,1,0.580583,0.593659,0.608004,1,1,1,0.835438,0.929708,0.997866
1665,0.000786782,1.02675051,1207,0.236316,0.215086,0.279579,0.467116,0.507365,0.879144,1,0.255436,0.776631,1,0.581125,0.594146,0.608583,1,1,1,0.837802,0.93125,0.997131
1665,0.00084317,1.10033685,1206,0.236617,0.222977,0.28468,0.490833,0.495308,0.859806,1,0.255409,0.776622,1,0.580422,0.594178,0.610386,1,1,1,0.830418,0.929547,0.996048
1665,0.000843882,1.10126601,1205,0.237487,0.225667,0.281777,0.414846,0.507831,0.872979,1,0.255355,0.803122,1,0.581764,0.594464,0.608824,1,1,1,0.837666,0.930058,0.999003
1665,0.001532567,1.999999935,1203,0.23899,0.215428,0.32883,0.52604,0.483079,0.726909,1,0.255301,0.962693,1,0.581405,0.594809,0.611527,1,1,1,0.842153,0.932146,0.998451
1665,0.001533742,2.00153331,1202,0.239292,0.203712,0.320098,0.529607,0.483029,0.719009,1,0.255274,0.970119,1,0.58226,0.594871,0.609196,1,1,1,0.83371,0.930479,0.996683
1665,0.001534919,2.003069295,1190,0.243281,0.207213,0.325424,0.534142,0.485075,0.717146,1,0.254303,0.924681,1,0.583477,0.596552,0.611079,1,1,1,0.8285,0.928403,0.997625
1665,0.001536098,2.00460789,1180,0.243611,0.202664,0.322061,0.489473,0.497898,0.727512,1,0.252092,0.959139,1,0.585327,0.597953,0.614195,1,1,1,0.834444,0.928527,0.995402
1665,0.001537279,2.006149095,1177,0.246828,0.202896,0.313369,0.506896,0.498732,0.744626,1,0.25167,0.958395,1,0.586556,0.599087,0.615636,1,1,1,0.831147,0.927498,0.996531
1665,0.001538462,2.00769291,1168,0.247903,0.203353,0.323858,0.519976,0.496836,0.733515,1,0.249685,0.956623,1,0.58628,0.600115,0.615357,1,1,1,0.838766,0.929782,0.996255
1665,0.001539646,2.00923803,1161,0.249216,0.211163,0.313678,0.498137,0.511983,0.764682,1,0.245156,0.936373,1,0.587678,0.601268,0.616708,1,1,1,0.842475,0.933621,0.994003
1665,0.001540832,2.01078576,1157,0.254738,0.197153,0.315618,0.491021,0.551145,0.774803,1,0.230714,0.918166,1,0.589869,0.60388,0.620486,1,1,1,0.849033,0.936308,0.993926
1665,0.00154202,2.0123361,1149,0.24947,0.206621,0.305545,0.469136,0.61066,0.84586,1,0.208228,0.879771,1,0.589294,0.602823,0.619522,1,1,1,0.89021,0.953779,0.997088
1665,0.00154321,2.01388905,1146,0.257871,0.209352,0.310206,0.516688,0.606301,0.857125,1,0.204606,0.858862,1,0.590616,0.605805,0.623114,1,1,1,0.88292,0.953814,0.99692
1665,0.001544402,2.01544461,1139,0.260191,0.205301,0.325552,0.511678,0.61429,0.8185,1,0.204327,0.892382,1,0.59233,0.607535,0.626167,1,1,1,0.884995,0.95389,0.997519
1665,0.001545595,2.017001475,1136,0.262982,0.21168,0.330718,0.510242,0.607594,0.815654,1,0.20417,0.911567,1,0.593523,0.608511,0.625369,1,1,1,0.881296,0.954051,0.997801
1665,0.00154679,2.01856095,1134,0.262744,0.212395,0.309938,0.506259,0.61518,0.835744,1,0.204031,0.885913,1,0.593839,0.608424,0.625165,1,1,1,0.88821,0.956092,0.998362
1665,0.001547988,2.02012434,1132,0.263465,0.206256,0.312503,0.487024,0.615337,0.836625,1,0.203979,0.900963,1,0.594602,0.608999,0.625856,1,1,1,0.883911,0.956632,0.998214
1665,0.001549187,2.021689035,1129,0.265407,0.206214,0.311489,0.488846,0.615651,0.854549,1,0.203875,0.867861,1,0.595913,0.609339,0.625004,1,1,1,0.886495,0.9546,0.998255
1665,0.001550388,2.02325634,1119,0.276227,0.215465,0.322672,0.494809,0.655232,0.867729,1,0.191559,0.899001,1,0.599424,0.613956,0.632084,1,1,1,0.895819,0.961725,0.99798
